state_id,county,policy_level,date,policy_type,start_stop
TX,Duval County,county,3/27/20,Shelter in Place,start
CA,Riverside County,county,4/4/20,Shelter in Place,start
CA,Alameda,county,5/29/20,Shelter in Place,start
CA,Calaveras County,county,3/27/20,Shelter in Place,start
ND,Morton,county,9/3/20,Non-Essential Businesses,start
MS,Claiborne,county,7/13/20,Day Care,start
PA,Susquehanna,county,6/26/20,Phase 2,start
IL,Hancock,county,8/18/20,Non-Essential Businesses,start
ID,Bear Lake,county,6/13/20,Outdoor and Recreation,start
TX,Gray,county,7/3/20,Mask Requirement,start
NC,Clay County,county,3/24/20,Shelter in Place,start
NC,,state,3/25/20,Gyms,start
PA,,state,7/1/20,Mandate Face Mask Use By All Individuals In Public Spaces,start
ND,Grand Forks,county,9/3/20,Childcare (K-12),start
TX,Jeff Davis County,county,3/31/20,Shelter in Place,start
DC,,state,3/11/20,Order Freezing Utility Shut Offs,start
GA,,state,4/27/20,Mandate Face Mask Use By All Individuals In Public Facing Businesses,start
PA,Lackawanna County,county,3/27/20,Shelter in Place,start
TX,Hays County,county,3/26/20,Shelter in Place,start
ND,Benson,county,9/3/20,Outdoor and Recreation,start
IL,LaSalle,county,6/26/20,Outdoor and Recreation,start
WA,Yakima County,county,3/22/20,Shelter in Place,start
KS,,state,3/30/20,Shelter in Place,start
NJ,,state,3/18/20,Day Care,start
IL,,state,5/1/20,Mandate Face Mask Use By All Individuals In Public Spaces,start
MI,Ontonagon,county,7/31/20,Entertainment,start
FL,Hillsborough County,county,3/27/20,Shelter in Place,start
UT,,state,3/19/20,Food and Drink,start
AR,,state,3/13/20,Allow Expand Medicaid Telehealth Coverage,start
IL,Cook,county,3/21/20,Childcare (K-12),start
MS,Quitman,county,7/13/20,Outdoor and Recreation,start
TX,Armstrong County,county,4/7/20,Shelter in Place,start
TX,Clay,county,7/3/20,Mask Requirement,start
NY,Queens,county,6/8/20,Construction,start
GA,Fulton,county,4/1/20,Food and Drink,start
PA,Franklin County,county,3/31/20,Shelter in Place,start
NH,,state,3/13/20,State of Emergency,start
MS,Quitman,county,7/13/20,Childcare (K-12),start
NJ,,state,3/19/20,Stop Enforcement Of Evictions Overall Or Due To Covid Related Issues,start
OH,Hardin,county,7/23/20,Public Health Advisory System,start
FL,Osceola County,county,3/26/20,Shelter in Place,start
CO,Adams County,county,3/26/20,Shelter in Place,start
PA,,state,3/19/20,Non-Essential Businesses,start
WV,,state,3/24/20,Shelter in Place,start
MS,Wayne,county,7/13/20,Manufacturing,start
TN,Shelby County,county,3/24/20,Shelter in Place,start
MD,,state,4/5/20,Nursing Homes,start
TX,Crosby,county,7/3/20,Mask Requirement,start
VT,,state,3/20/20,Suspended Elective Medical Dental Procedures,start
MS,Sunflower,county,7/13/20,Houses of Worship,start
CO,,state,3/26/20,Non-Essential Businesses,start
PA,Berks County,county,3/27/20,Shelter in Place,start
AZ,,state,5/15/20,Shelter in Place,stop
MS,Jefferson,county,7/20/20,Non-Essential Businesses,stop
MS,Rankin,county,7/20/20,Houses of Worship,stop
MS,Wayne,county,7/20/20,Houses of Worship,stop
ME,,state,5/31/20,Shelter in Place,stop
NE,Morrill,county,5/11/20,Shelter in Place,stop
NE,Lancaster,county,10/31/20,Mask Requirement,stop
DC,,state,6/22/20,Gyms,stop
KY,,state,5/22/20,Food and Drink,stop
CA,Sutter County,county,5/3/20,Shelter in Place,stop
PA,Monroe County,county,4/30/20,Shelter in Place,stop
CO,Broomfield County,county,3/26/20,Shelter in Place,stop
TX,Kaufman County,county,4/8/20,Shelter in Place,stop
MS,Wayne,county,7/20/20,Entertainment,stop
NE,McPherson,county,5/11/20,Shelter in Place,stop
TX,Hays County,county,4/10/20,Shelter in Place,stop
NC,Gaston County,county,4/16/20,Shelter in Place,stop
MS,Washington,county,7/20/20,Childcare (K-12),stop
FL,,state,5/18/20,Food and Drink,stop
TX,Val Verde County,county,5/5/20,Shelter in Place,stop
MS,Wayne,county,7/20/20,Day Care,stop
NC,Mecklenburg County,county,4/29/20,Shelter in Place,stop
KS,,state,5/4/20,Shelter in Place,stop
AR,,state,5/4/20,Non-Essential Businesses,stop
TX,Willacy County,county,5/4/20,Shelter in Place,stop
MO,Lincoln County,county,4/6/20,Shelter in Place,stop
ID,,state,5/1/20,Shelter in Place,stop
NE,,state,5/11/20,Shelter in Place,stop
MS,Claiborne,county,7/20/20,Day Care,stop
TX,Young County,county,5/1/20,Shelter in Place,stop
TX,Montgomery County,county,4/17/20,Shelter in Place,stop
NE,Keith,county,5/11/20,Shelter in Place,stop
MO,Boone County,county,4/24/20,Shelter in Place,stop
OH,,state,5/15/20,Food and Drink,stop
UT,Salt Lake,county,8/7/20,Phase 2,stop
MS,Quitman,county,7/20/20,Food and Drink,stop
WV,,state,5/4/20,Non-Essential Businesses,stop
NE,Lancaster,county,10/31/20,Non-Essential Businesses,stop
DE,,state,6/1/20,Food and Drink,stop
UT,Wasatch County,county,4/14/20,Shelter in Place,stop
NE,Phelps,county,5/11/20,Shelter in Place,stop
MA,,state,7/13/20,Gyms,stop
NE,Seward,county,5/6/20,Shelter in Place,stop
AL,,state,5/11/20,Gyms,stop
MS,Grenada,county,7/20/20,Outdoor and Recreation,stop
DE,,state,6/1/20,Gyms,stop
CA,Alameda County,county,5/31/20,Shelter in Place,stop
NE,Dodge,county,5/6/20,Shelter in Place,stop
PA,York County,county,4/30/20,Shelter in Place,stop
TX,,state,5/18/20,Gyms,stop
NM,,state,6/1/20,Gyms,stop
MO,Linn County,county,4/24/20,Shelter in Place,stop
IA,Dallas,county,9/20/20,Food and Drink,stop
NE,Platte,county,5/11/20,Shelter in Place,stop
AK,Anchorage Municipality,county,3/31/20,Shelter in Place,stop
NE,Saunders,county,5/6/20,Shelter in Place,stop
GA,Decatur County,county,4/7/20,Shelter in Place,stop
TX,Swisher County,county,4/30/20,Shelter in Place,stop
NE,Greeley,county,5/11/20,Shelter in Place,stop
FL,Osceola County,county,4/9/20,Shelter in Place,stop
OR,,state,6/19/20,Gyms,stop
GA,Fulton,county,4/30/20,Non-Essential Businesses,stop
TX,Erath County,county,4/30/20,Shelter in Place,stop
AZ,,state,5/11/20,Food and Drink,stop
UT,Salt Lake County,county,4/13/20,Shelter in Place,stop
IN,Marion,county,6/1/20,Phase 2,stop
VT,,state,6/1/20,Gyms,stop
NE,Hall,county,5/6/20,Shelter in Place,stop
MS,Quitman,county,7/20/20,Day Care,stop
NE,Sherman,county,5/11/20,Shelter in Place,stop
WV,,state,5/4/20,Shelter in Place,stop
TX,Navarro County,county,4/30/20,Shelter in Place,stop
MS,Hinds,county,7/20/20,Food and Drink,stop
IL,Cook,county,5/30/20,Childcare (K-12),stop
KS,Atchison County,county,4/25/20,Shelter in Place,stop
MS,Harrison,county,7/20/20,Day Care,stop
DE,,state,5/31/20,Shelter in Place,stop
NE,Clay,county,5/11/20,Shelter in Place,stop
PA,Lebanon County,county,4/30/20,Shelter in Place,stop
NE,Rock,county,5/11/20,Shelter in Place,stop
GA,Fulton,county,4/30/20,Personal Care,stop
NE,Burt,county,5/6/20,Shelter in Place,stop
MS,Jackson,county,7/20/20,Food and Drink,stop
UT,Kane,county,6/26/20,Phase 4,stop
NE,Buffalo,county,5/11/20,Shelter in Place,stop
UT,,state,5/1/20,Gyms,stop
PA,Washington County,county,4/30/20,Shelter in Place,stop
MS,DeSoto,county,7/20/20,Outdoor and Recreation,stop
PA,Cumberland County,county,4/30/20,Shelter in Place,stop
FL,St. Lucie County,county,4/24/20,Shelter in Place,stop
LA,,state,5/1/20,Non-Essential Businesses,stop
CA,Nevada County,county,5/15/20,Shelter in Place,stop
OH,,state,5/4/20,Non-Essential Businesses,stop
TX,Jeff Davis County,county,4/30/20,Shelter in Place,stop
TN,Shelby County,county,4/7/20,Shelter in Place,stop
MO,Jackson,county,5/31/20,Food and Drink,stop
HI,,state,5/31/20,Shelter in Place,stop
TX,Bexar,county,6/4/20,Shelter in Place,stop
IA,,state,4/30/20,Shelter in Place,stop
PA,Northampton County,county,4/30/20,Shelter in Place,stop
TN,,state,3/13/20,Allow Expand Medicaid Telehealth Coverage,start
CA,Alameda,county,5/18/20,Phase 1,start
MI,Charlevoix,county,7/31/20,Outdoor and Recreation,start
TX,Liberty County,county,3/24/20,Shelter in Place,start
CA,Alameda,county,5/18/20,Entertainment,start
OR,Baker,county,6/6/20,New Phase,start
AL,,state,3/28/20,Entertainment,start
OR,Lane,county,5/15/20,Food and Drink,start
FL,Pinellas County,county,3/26/20,Shelter in Place,start
NJ,,state,4/24/20,Renter Grace Period Or Use Of Security Deposit To Pay Rent,start
TX,Carson,county,7/3/20,Mask Requirement,start
CA,San Francisco,county,9/30/20,Childcare (K-12),start
UT,Salt Lake County,county,3/30/20,Shelter in Place,start
IL,Monroe,county,8/18/20,Food and Drink,start
DE,,state,4/6/20,Day Care,start
MS,Quitman,county,7/13/20,Food and Drink,start
ID,Ada,county,6/24/20,Mask Requirement,start
ND,Burleigh,county,9/3/20,Childcare (K-12),start
GA,,state,3/18/20,Allow Expand Medicaid Telehealth Coverage,start
ND,,state,3/20/20,Allow Expand Medicaid Telehealth Coverage,start
OH,Medina,county,7/23/20,Public Health Advisory System,start
CO,Denver,county,7/21/20,Mask Requirement,start
DE,,state,3/18/20,Allow Expand Medicaid Telehealth Coverage,start
AZ,,state,3/21/20,Suspended Elective Medical Dental Procedures,start
NE,Fillmore,county,4/3/20,Shelter in Place,start
NY,,state,3/22/20,Non-Essential Businesses,start
CO,Otero,county,10/30/20,Outdoor and Recreation,start
MS,Washington,county,7/13/20,Entertainment,start
MN,,state,3/18/20,Childcare (K-12),start
ND,Walsh,county,9/3/20,Food and Drink,start
ID,Adams,county,6/13/20,Non-Essential Businesses,start
TX,Collingsworth,county,7/3/20,Mask Requirement,start
PA,Cameron County,county,3/31/20,Shelter in Place,start
AK,,state,4/9/20,Order Freezing Utility Shut Offs,start
KS,,state,3/12/20,State of Emergency,start
MD,,state,3/16/20,Food and Drink,start
ID,Gem,county,10/27/20,Phase 3,start
ND,McLean,county,9/3/20,Phase 3,start
ND,Billings,county,9/3/20,Childcare (K-12),start
OH,Clark,county,7/23/20,Public Health Advisory System,start
GA,,state,4/1/20,Modify Medicaid Requirements With 1135 Waivers Date Of CMS Approval,start
UT,,state,4/10/20,Mandate Face Mask Use By All Individuals In Public Spaces,start
NV,,state,3/17/20,Allow Expand Medicaid Telehealth Coverage,start
TN,,state,3/23/20,Entertainment,start
MI,Alpena,county,7/31/20,Entertainment,start
ME,Aroostook,county,5/18/20,Outdoor and Recreation,start
MI,Schoolcraft,county,7/31/20,Entertainment,start
KS,,state,7/3/20,Mandate Face Mask Use By All Individuals In Public Spaces,start
ID,Adams,county,6/13/20,Phase 4,start
VA,,state,3/25/20,Entertainment,start
OH,,state,3/11/20,Nursing Homes,start
ND,Divide,county,9/3/20,Childcare (K-12),start
TX,Martin,county,7/3/20,Mask Requirement,start
NE,Webster,county,3/31/20,Shelter in Place,start
IL,,state,3/18/20,Order Freezing Utility Shut Offs,start
TX,Culberson County,county,3/25/20,Shelter in Place,start
MD,,state,4/1/20,Reopened ACA Enrollment Using a Special Enrollment Period,start
PA,York,county,6/12/20,Phase 2,start
UT,Salt Lake,county,6/26/20,Phase 3,start
KS,,state,3/17/20,Stop Initiation Of Evictions Overall Or Due To Covid Related Issues,start
AL,,state,3/28/20,Non-Essential Businesses,start
NE,Arthur,county,4/1/20,Shelter in Place,start
MO,,state,3/25/20,Modify Medicaid Requirements With 1135 Waivers Date Of CMS Approval,start
IN,Lake,county,6/1/20,Phase 3,start
ND,Pembina,county,9/3/20,Childcare (K-12),start
ID,Adams,county,6/13/20,Outdoor and Recreation,start
ME,Piscataquis,county,5/11/20,Non-Essential Businesses,start
TX,Sutton,county,7/3/20,Mask Requirement,start
MS,Hinds,county,7/13/20,Day Care,start
PA,,state,3/19/20,Entertainment,start
NE,Sioux,county,3/30/20,Shelter in Place,start
TX,Taylor County,county,3/31/20,Shelter in Place,start
TX,Jefferson County,county,3/27/20,Shelter in Place,start
MS,Jefferson,county,7/13/20,Non-Essential Businesses,start
CO,Otero,county,10/30/20,Phase 2,start
OH,Erie,county,7/23/20,Public Health Advisory System,start
TX,Brazos County,county,3/24/20,Shelter in Place,start
ME,,state,4/16/20,Stop Enforcement Of Evictions Overall Or Due To Covid Related Issues,start
NE,Greeley,county,4/3/20,Shelter in Place,start
AZ,,state,3/25/20,Allow Expand Medicaid Telehealth Coverage,start
NE,McPherson,county,4/1/20,Shelter in Place,start
MA,,state,5/6/20,Mandate Face Mask Use By All Individuals In Public Facing Businesses,start
MD,,state,3/24/20,Suspended Elective Medical Dental Procedures,start
NM,,state,4/30/20,Resumed Elective Medical Procedures,start
MD,,state,4/1/20,Allow Audio Only Telehealth,start
NY,,state,3/26/20,Modify Medicaid Requirements With 1135 Waivers Date Of CMS Approval,start
ID,,state,3/17/20,Allow Expand Medicaid Telehealth Coverage,start
IL,,state,3/19/20,Allow Expand Medicaid Telehealth Coverage,start
CO,La Plata,county,9/25/20,Food and Drink,start
MI,Wexford,county,7/31/20,Outdoor and Recreation,start
GA,Cherokee County,county,3/26/20,Shelter in Place,start
NM,,state,3/24/20,Non-Essential Businesses,start
WA,,state,3/25/20,Allow Expand Medicaid Telehealth Coverage,start
NE,Lancaster,county,9/14/20,Phase 3,start
PA,Northampton,county,6/26/20,Phase 2,start
MS,Madison,county,7/13/20,Entertainment,start
MI,Missaukee,county,7/31/20,Entertainment,start
PA,Delaware County,county,3/23/20,Shelter in Place,start
SD,,state,3/23/20,Suspended Elective Medical Dental Procedures,start
IL,Clinton,county,8/18/20,Entertainment,start
MS,Jefferson,county,7/13/20,Entertainment,start
CA,,state,3/19/20,Suspended Elective Medical Dental Procedures,start
AR,,state,7/20/20,Mandate Face Mask Use By All Individuals In Public Spaces,start
OH,,state,7/23/20,Mandate Face Mask Use By All Individuals In Public Spaces,start
SC,,state,3/16/20,Childcare (K-12),start
MS,Hinds,county,7/13/20,Houses of Worship,start
OR,,state,3/18/20,Suspended Elective Medical Dental Procedures,start
OH,Richland,county,7/23/20,Public Health Advisory System,start
ID,Payette,county,10/27/20,Phase 3,start
MS,Jefferson,county,7/13/20,Outdoor and Recreation,start
HI,,state,3/25/20,Shelter in Place,start
MI,,state,4/27/20,Mandate Face Mask Use By All Individuals In Public Spaces,start
OH,Cuyahoga,county,7/8/20,Mask Requirement,start
CA,Monterey County,county,3/18/20,Shelter in Place,start
SC,,state,3/13/20,State of Emergency,start
MA,,state,4/20/20,Stop Initiation Of Evictions Overall Or Due To Covid Related Issues,start
MA,,state,3/16/20,Childcare (K-12),start
CO,Denver,county,6/17/20,Entertainment,start
NM,,state,3/19/20,Order Freezing Utility Shut Offs,start
TX,,state,3/21/20,Nursing Homes,start
NE,,state,3/25/20,Stop Initiation Of Evictions Overall Or Due To Covid Related Issues,start
IA,Johnson,county,8/27/20,Food and Drink,start
TX,Val Verde County,county,3/23/20,Shelter in Place,start
MI,Mackinac,county,7/31/20,Outdoor and Recreation,start
TX,Johnson County,county,3/27/20,Shelter in Place,start
OR,,state,3/17/20,Food and Drink,start
PA,Adams,county,6/12/20,Phase 2,start
MO,Jackson,county,5/11/20,Food and Drink,start
WV,,state,3/19/20,Gyms,start
NH,,state,3/23/20,Modify Medicaid Requirements With 1135 Waivers Date Of CMS Approval,start
ND,Benson,county,9/3/20,Food and Drink,start
VT,,state,3/25/20,Non-Essential Businesses,start
TN,,state,3/23/20,Gyms,start
MT,,state,3/30/20,Stop Initiation Of Evictions Overall Or Due To Covid Related Issues,start
KS,Johnson County,county,3/24/20,Shelter in Place,start
NE,Garden,county,3/30/20,Shelter in Place,start
FL,Sumter County,county,3/31/20,Shelter in Place,start
TX,Panola County,county,4/1/20,Shelter in Place,start
KY,,state,3/18/20,Gyms,start
VT,,state,3/18/20,Day Care,start
GA,Decatur County,county,3/25/20,Shelter in Place,start
NE,Wheeler,county,4/3/20,Shelter in Place,start
ND,Grand Forks,county,9/3/20,Food and Drink,start
CO,Arapahoe County,county,3/26/20,Shelter in Place,start
NE,Thurston,county,4/3/20,Shelter in Place,start
UT,Carbon,county,9/11/20,Food and Drink,start
MI,,state,3/21/20,Suspended Elective Medical Dental Procedures,start
IL,LaSalle,county,6/26/20,Non-Essential Businesses,start
TX,Brewster County,county,3/31/20,Shelter in Place,start
AR,,state,3/17/20,Childcare (K-12),start
VA,,state,3/19/20,Allow Expand Medicaid Telehealth Coverage,start
TX,Sterling,county,7/3/20,Mask Requirement,start
ME,Sagadahoc,county,7/8/20,Mask Requirement,start
ME,Penobscot,county,6/1/20,Non-Essential Businesses,start
TX,Eastland,county,7/3/20,Mask Requirement,start
KS,Atchison County,county,3/25/20,Shelter in Place,start
NE,Banner,county,3/30/20,Shelter in Place,start
MS,,state,5/7/20,Mandate Face Mask Use By All Individuals In Public Facing Businesses,start
ID,Adams,county,6/13/20,Food and Drink,start
OH,Defiance,county,7/23/20,Public Health Advisory System,start
MO,Osage County,county,4/3/20,Shelter in Place,start
TX,Gray County,county,4/2/20,Shelter in Place,start
DE,Sussex,county,7/3/20,Food and Drink,start
MS,,state,4/3/20,Shelter in Place,start
KY,,state,3/25/20,Modify Medicaid Requirements With 1135 Waivers Date Of CMS Approval,start
MS,Wayne,county,7/13/20,Childcare (K-12),start
GA,Fulton,county,4/1/20,Personal Care,start
TX,Hopkins County,county,4/6/20,Shelter in Place,start
UT,Carbon,county,9/11/20,Houses of Worship,start
ND,Cavalier,county,9/3/20,Food and Drink,start
WV,Berkeley County,county,4/5/20,Shelter in Place,start
ME,,state,5/1/20,Mandate Face Mask Use By All Individuals In Public Facing Businesses,start
ME,Androscoggin,county,6/1/20,Non-Essential Businesses,start
ND,Morton,county,9/3/20,Childcare (K-12),start
MO,Jackson,county,5/11/20,Outdoor and Recreation,start
GA,Fulton,county,4/1/20,Childcare (K-12),start
TX,Bowie County,county,3/27/20,Shelter in Place,start
NE,Blaine,county,4/3/20,Shelter in Place,start
TX,Haskell,county,7/3/20,Mask Requirement,start
HI,,state,3/25/20,Non-Essential Businesses,start
MI,,state,3/10/20,State of Emergency,start
NE,Dixon,county,4/3/20,Shelter in Place,start
WA,,state,3/16/20,Gyms,start
OH,Clermont,county,7/10/20,Mask Requirement,start
ME,Franklin,county,5/11/20,Non-Essential Businesses,start
TX,Madison County,county,3/30/20,Shelter in Place,start
NE,Adams,county,3/31/20,Shelter in Place,start
ID,Bear Lake,county,6/13/20,Non-Essential Businesses,start
TX,La Salle County,county,4/6/20,Shelter in Place,start
IA,,state,3/19/20,Stop Initiation Of Evictions Overall Or Due To Covid Related Issues,start
WI,,state,3/13/20,Order Freezing Utility Shut Offs,start
ND,Foster,county,9/3/20,Childcare (K-12),start
HI,,state,3/17/20,Nursing Homes,start
NE,Platte,county,4/3/20,Shelter in Place,start
ME,Oxford,county,5/18/20,Outdoor and Recreation,start
MS,Rankin,county,7/13/20,Entertainment,start
NY,Bronx,county,6/8/20,Manufacturing,start
NH,Strafford,county,6/15/20,Food and Drink,start
OR,Grant,county,6/5/20,New Phase,start
NE,Pawnee,county,4/3/20,Shelter in Place,start
WI,,state,3/18/20,Childcare (K-12),start
PA,,state,3/20/20,Suspended Elective Medical Dental Procedures,start
OH,Summit,county,7/23/20,Public Health Advisory System,start
AR,,state,4/4/20,Non-Essential Businesses,start
PA,Chester County,county,3/23/20,Shelter in Place,start
MO,St. Francois County,county,4/3/20,Shelter in Place,start
MI,,state,4/26/20,Mandate Face Mask Use By All Individuals In Public Facing Businesses,start
TX,Delta,county,7/3/20,Mask Requirement,start
MN,,state,3/27/20,Shelter in Place,start
TX,Kaufman County,county,3/25/20,Shelter in Place,start
NH,,state,3/15/20,Nursing Homes,start
MO,Christian County,county,3/26/20,Shelter in Place,start
ME,,state,5/1/20,Resumed Elective Medical Procedures,start
NE,,state,4/10/20,Shelter in Place,start
AK,Anchorage Municipality,county,3/22/20,Shelter in Place,start
FL,,state,5/11/20,Mandate Face Mask Use By All Individuals In Public Facing Businesses,start
ME,Knox,county,5/18/20,Outdoor and Recreation,start
UT,,state,3/20/20,Allow Expand Medicaid Telehealth Coverage,start
OR,,state,3/8/20,State of Emergency,start
MO,Jackson,county,5/11/20,Houses of Worship,start
CA,Inyo County,county,3/20/20,Shelter in Place,start
UT,Carbon,county,9/11/20,Entertainment,start
ND,Stark,county,9/3/20,Childcare (K-12),start
NE,Lancaster,county,9/14/20,Food and Drink,start
KS,Morris County,county,3/25/20,Shelter in Place,start
IA,,state,3/25/20,Modify Medicaid Requirements With 1135 Waivers Date Of CMS Approval,start
PA,Dauphin,county,6/19/20,Phase 2,start
AZ,,state,3/24/20,Stop Enforcement Of Evictions Overall Or Due To Covid Related Issues,start
MS,Grenada,county,7/13/20,Day Care,start
MS,,state,3/15/20,Order Freezing Utility Shut Offs,start
MS,DeSoto,county,7/13/20,Houses of Worship,start
NE,Otoe,county,4/3/20,Shelter in Place,start
GA,,state,4/3/20,Nursing Homes,start
MN,,state,7/24/20,Mandate Face Mask Use By All Individuals In Public Spaces,start
MS,Grenada,county,7/13/20,Food and Drink,start
PA,Crawford County,county,4/30/20,Shelter in Place,stop
TX,Brazoria County,county,4/30/20,Shelter in Place,stop
TN,,state,4/29/20,Shelter in Place,stop
UT,Summit County,county,5/1/20,Shelter in Place,stop
TX,Bexar,county,6/4/20,Manufacturing,stop
TN,,state,5/1/20,Non-Essential Businesses,stop
DC,,state,5/29/20,Food and Drink,stop
MN,,state,5/18/20,Shelter in Place,stop
FL,Broward,county,7/5/20,Outdoor and Recreation,stop
IL,Cook,county,5/30/20,Entertainment,stop
WA,,state,5/31/20,Shelter in Place,stop
UT,,state,5/1/20,Shelter in Place,stop
TX,Kenedy County,county,4/30/20,Shelter in Place,stop
CO,,state,6/4/20,Gyms,stop
MS,Jackson,county,7/20/20,Entertainment,stop
NE,Dawes,county,5/11/20,Shelter in Place,stop
TX,Caldwell County,county,4/8/20,Shelter in Place,stop
CA,Monterey County,county,5/4/20,Shelter in Place,stop
MS,Claiborne,county,7/20/20,Houses of Worship,stop
NE,Lancaster,county,10/31/20,Phase 3,stop
ME,,state,6/1/20,Food and Drink,stop
TX,Shelby County,county,4/30/20,Shelter in Place,stop
OR,,state,6/19/20,Food and Drink,stop
GA,Floyd County,county,4/7/20,Shelter in Place,stop
MS,,state,5/11/20,Gyms,stop
NE,Red Willow,county,5/11/20,Shelter in Place,stop
NE,Grant,county,5/11/20,Shelter in Place,stop
NE,Thurston,county,5/11/20,Shelter in Place,stop
NE,Blaine,county,5/11/20,Shelter in Place,stop
MS,Hinds,county,7/20/20,Outdoor and Recreation,stop
NE,Sarpy,county,4/30/20,Shelter in Place,stop
TX,Bexar,county,6/4/20,Entertainment,stop
MO,Clay County,county,4/23/20,Shelter in Place,stop
NE,Johnson,county,5/11/20,Shelter in Place,stop
MS,Madison,county,7/20/20,Non-Essential Businesses,stop
CA,Sacramento County,county,5/1/20,Shelter in Place,stop
MS,Hinds,county,7/20/20,Entertainment,stop
TX,Limestone County,county,4/30/20,Shelter in Place,stop
FL,Monroe,county,7/7/20,Outdoor and Recreation,stop
WY,,state,5/15/20,Food and Drink,stop
MO,Cole County,county,4/25/20,Shelter in Place,stop
TX,Brewster County,county,4/30/20,Shelter in Place,stop
NE,Cedar,county,5/11/20,Shelter in Place,stop
MS,Quitman,county,7/20/20,Outdoor and Recreation,stop
MS,DeSoto,county,7/20/20,Childcare (K-12),stop
NE,Deuel,county,5/11/20,Shelter in Place,stop
PA,Bucks County,county,4/30/20,Shelter in Place,stop
NC,,state,5/8/20,Non-Essential Businesses,stop
IN,Cass,county,5/13/20,Phase 3,stop
IN,Lake,county,6/1/20,Phase 2,stop
MS,Jefferson,county,7/20/20,Childcare (K-12),stop
MS,Grenada,county,7/20/20,Childcare (K-12),stop
DC,,state,5/29/20,Non-Essential Businesses,stop
CA,,state,5/8/20,Non-Essential Businesses,stop
GA,,state,4/27/20,Shelter in Place,stop
TX,Jasper County,county,5/10/20,Shelter in Place,stop
MS,Quitman,county,7/20/20,Houses of Worship,stop
NE,Keya Paha,county,5/11/20,Shelter in Place,stop
KY,,state,6/1/20,Gyms,stop
NE,Cheyenne,county,5/11/20,Shelter in Place,stop
PA,Carbon County,county,4/30/20,Shelter in Place,stop
IN,,state,5/1/20,Shelter in Place,stop
TX,Gregg County,county,4/9/20,Shelter in Place,stop
TX,Tyler County,county,4/30/20,Shelter in Place,stop
KS,,state,5/18/20,Gyms,stop
AK,,state,4/24/20,Non-Essential Businesses,stop
IL,Cook,county,5/30/20,Outdoor and Recreation,stop
MS,Jefferson,county,7/20/20,Day Care,stop
DC,,state,6/8/20,Shelter in Place,stop
WI,,state,5/13/20,Food and Drink,stop
MS,Quitman,county,7/20/20,Manufacturing,stop
MS,Claiborne,county,7/20/20,Entertainment,stop
MO,Jackson,county,5/25/20,New Phase,stop
MI,Baraga,county,7/31/20,Entertainment,start
LA,,state,3/17/20,Entertainment,start
MI,,state,3/24/20,Shelter in Place,start
CA,Ventura,county,10/6/20,Phase 2,start
TX,Kent,county,7/3/20,Mask Requirement,start
WI,,state,3/27/20,Stop Enforcement Of Evictions Overall Or Due To Covid Related Issues,start
FL,,state,3/16/20,Modify Medicaid Requirements With 1135 Waivers Date Of CMS Approval,start
CA,Alameda,county,5/18/20,Houses of Worship,start
IL,Washington,county,8/18/20,Food and Drink,start
MS,Calhoun,county,7/25/20,Phase 3,start
HI,,state,4/16/20,Suspended Elective Medical Dental Procedures,start
NE,Nuckolls,county,3/31/20,Shelter in Place,start
NC,,state,3/25/20,Entertainment,start
MI,Wexford,county,7/31/20,Entertainment,start
IL,St. Clair,county,8/18/20,Non-Essential Businesses,start
TX,Brazoria County,county,3/26/20,Shelter in Place,start
TX,Newton County,county,3/30/20,Shelter in Place,start
TX,Wood County,county,4/1/20,Shelter in Place,start
OR,,state,3/25/20,Modify Medicaid Requirements With 1135 Waivers Date Of CMS Approval,start
TX,Dickens,county,7/3/20,Mask Requirement,start
CA,San Luis Obispo County,county,3/19/20,Shelter in Place,start
ME,Washington,county,5/18/20,Food and Drink,start
TX,Travis County,county,3/24/20,Shelter in Place,start
AR,,state,3/20/20,Entertainment,start
MD,,state,3/5/20,State of Emergency,start
OR,Benton,county,6/5/20,Outdoor and Recreation,start
WA,,state,3/17/20,Childcare (K-12),start
KY,,state,5/6/20,Resumed Elective Medical Procedures,start
AZ,,state,5/8/20,Mandate Face Mask Use By All Individuals In Public Facing Businesses,start
MS,DeSoto,county,7/13/20,Entertainment,start
CO,Otero,county,10/30/20,Manufacturing,start
WI,,state,4/20/20,Modify Medicaid Requirements With 1135 Waivers Date Of CMS Approval,start
NE,Merrick,county,3/28/20,Shelter in Place,start
ID,Owyhee,county,10/27/20,Phase 3,start
TX,Maverick County,county,3/31/20,Shelter in Place,start
ID,Blaine County,county,3/19/20,Shelter in Place,start
WY,,state,3/19/20,Entertainment,start
MN,,state,3/24/20,Stop Initiation Of Evictions Overall Or Due To Covid Related Issues,start
MO,Jackson County,county,3/24/20,Shelter in Place,start
OK,,state,3/16/20,Nursing Homes,start
UT,,state,3/25/20,Suspended Elective Medical Dental Procedures,start
AL,,state,3/20/20,Day Care,start
DC,District of Columbia,county,3/23/20,Shelter in Place,start
OK,,state,3/25/20,Allow Audio Only Telehealth,start
NE,Valley,county,4/3/20,Shelter in Place,start
MS,,state,3/16/20,Allow Audio Only Telehealth,start
CA,Ventura,county,10/6/20,Outdoor and Recreation,start
IL,Cook,county,6/3/20,Phase 3,start
TX,Hudspeth,county,7/3/20,Mask Requirement,start
NC,Cabarrus County,county,3/26/20,Shelter in Place,start
MI,Keweenaw,county,7/31/20,Outdoor and Recreation,start
